"['Le Crotoy', '']",Eclaircies,8.9,15.4
"['Wissant', '']",Eclaircies,9.4,14.3
"['Etretat', '']",Eclaircies,10.1,15.7
"['Saint-Malo', '']",Eclaircies,10.2,17
"['Pornic', '']",Eclaircies,11.9,17
"['Arcachon', '']",Eclaircies,12.5,19.8
"['Hossegor', '']",Eclaircies,12.2,21.1
"['Saint-Jean-de-Luz', '']",Pluie,12.7,18.7
"['Le Grau-du-Roi', '']",Eclaircies,14.8,20.3
"['Collioure', '']",Eclaircies,15.5,19.9
"['Cassis', '']",Eclaircies,14.6,20.1
"['Saint-Tropez', '']",Eclaircies,13.3,21.8
"['Porto-Vecchio', '']",Eclaircies,14.8,21.6
